norad,object,fleet,gcat_otype,active_flag,status,expected_verdict,spike_history,spikes_on_record,in_exam_set,evidence,source,rationale
54679,OneWeb SL0685,oneweb,,A,active,on rhythm,yes,4,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
45140,OneWeb SL0028,oneweb,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
48767,OneWeb SL0211,oneweb,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
49219,OneWeb SL0357,oneweb,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
51628,OneWeb SL0425,oneweb,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
51631,OneWeb SL0434,oneweb,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
46058,Starlink 1564,starlink,,A,active,on rhythm,yes,4,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
60283,Starlink 32037,starlink,,A,active,on rhythm,yes,4,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
60267,Starlink 32158,starlink,,A,active,on rhythm,yes,4,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
50179,Starlink 3283,starlink,,A,active,on rhythm,yes,4,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
51731,Starlink 3514,starlink,,A,active,on rhythm,yes,4,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
68548,Starlink 37145,starlink,,A,active,on rhythm,yes,4,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
53277,Starlink 4178,starlink,,A,active,on rhythm,yes,4,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
54074,Starlink 5192,starlink,,A,active,on rhythm,yes,4,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
54791,Starlink 5425,starlink,,A,active,on rhythm,yes,4,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
55605,Starlink 5725,starlink,,A,active,on rhythm,yes,4,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
55784,Starlink 5797,starlink,,A,active,on rhythm,yes,4,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
57061,Starlink 5869,starlink,,A,active,on rhythm,yes,4,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
62562,Starlink 11530,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
63191,Starlink 11647,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
46718,Starlink 1821,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
58534,Starlink 30936,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
58842,Starlink 31228,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
58967,Starlink 31314,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
59463,Starlink 31364,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
60057,Starlink 31437,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
59234,Starlink 31438,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
59730,Starlink 31472,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
60029,Starlink 32006,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
60270,Starlink 32211,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
