norad,object,operator,regime,event_date_utc,event_type,evidence,source_1,source_2,independent,alt_step_km,x_bar,inc_step_deg,catalog_lag_days,detector_scoreable,verdict,notes
44625,MEV-1,Northrop/SpaceLogistics,GEO,2020-02-25,docking,verified,"Northrop Grumman press release: first-ever GEO docking, 2020-02-25","McDowell GCAT satcat: phase ends DDate 2020 Feb 25 0715, Status DK (docked)",yes,,,,,no,excluded,"Two sources agree to the hour. Excluded from scoring: MEV-1's own orbit-raising transit contaminates the window."
46113,MEV-2,Northrop/SpaceLogistics,GEO,2021-04-12,docking,verified,"Northrop Grumman / Intelsat press release, 2021-04-12 1:34pm EDT","McDowell GCAT satcat: DDate 2021 Apr 12 1734, Status DK",yes,0.07,0.2,0.0139,,no,missed,"GCAT's 17:34 UTC = 1:34pm EDT exactly. Nearest over-bar altitude step is -20 days away and unrelated."
28358,Intelsat 1002,Intelsat,GEO,2021-04-12,docked_by_servicer,verified,"Northrop Grumman / Intelsat press release, 2021-04-12","McDowell GCAT satcat MEV-2 phase, DDate 2021 Apr 12 1734, Status DK",yes,0.05,0.1,0.0021,,no,missed,"Target stays passive during rendezvous so its own orbit barely changes. Structural blind spot, not a tuning issue."
41748,Intelsat 33e,Intelsat,GEO,2024-10-19,breakup_total_loss,verified,"U.S. Space Forces-Space confirmation, 2024-10-19 ~0430 UTC","Slingshot Aerospace + ExoAnalytic independent sensor networks tracked the debris cloud (57 pieces by 10-21)",yes,0.08,0.2,0.0020,10,no,missed_on_timing,"Signal is real but +10 days late (-29.87 km, 71x bar, 2024-10-29). NOTE: GCAT has NOT recorded a breakup phase for this object."
41308,Intelsat 29e,Intelsat,GEO,2019-04-07,propulsion_failure,verified,"Intelsat newsroom press release: propellant leak late on 2019-04-07, total loss declared 04-18","Seradata independent analysis (disputed the stated cause: power loss, not fuel leak); SpaceNews",yes,35.69,85,0.0116,2,no,caught,"DATE CORRECTED 07-22 from 04-09 to 04-07 (documented leak onset). Catalog step 04-09 = +2 day lag. Still caught."
27820,AMC-9,SES,GEO,2017-06-17,anomaly_fragmentation,verified,"SpaceNews: AMC-9 stopped responding 2017-06-17, energetic event ~0710 UTC","NASA Orbital Debris Quarterly News (ntrs.nasa.gov 20180001608) - independent of SES",yes,12.98,31,0.0158,2,no,caught,"NASA and the trade press agree. Catalog step lands 2017-06-19, +2 days, inside the window."
28884,Galaxy 15,Intelsat,GEO,2010-04-05,loss_of_command,verified,"SpaceNews / Orbital Sciences: command loss 2010-04-05, blamed on solar storm","USGS Geomagnetism Program: 'Space Weather Events of April 5, 2010 and the Galaxy 15 satellite', 0948 UT",yes,0.03,0.1,0.0045,5,no,missed_on_timing,"CRITICAL: our flagship 'went quiet' case, and the best-sourced miss in the set. Largest step 2.15 km (5x bar), +5 days late."
26824,Intelsat 901,Intelsat,GEO,2025-03-31,graveyard_raise,assumed,"Northrop Grumman press release 2025-04-09 states IS-901 was pushed to graveyard before undocking","DOWNGRADED 07-22: no second independent source. Trade coverage all derives from the same release; the date is catalog-derived",no,307.60,732,0.0080,0,no,caught,"+413 km over 03-31..04-03, drift -0.016 -> -5.26 deg/day. Physically unambiguous, but only one documentary source and we supplied the date."
26824,Intelsat 901,Intelsat,GEO,2020-03-02,stack_relocation,assumed,"Inferred from catalog step + published MEV-1 conops","No press release names this specific burn",no,148.16,353,0.1111,0,no,caught,"MEV-1 flying the docked stack toward the GEO belt. Inclination -0.111 deg in one step."
27820,AMC-9,SES,GEO,2017-11-13,graveyard_raise,assumed,"'AMC-9, A Long Road to Graveyard Orbit' (ResearchGate) documents the move as ~November 2017","Exact burn date is catalog-derived; source gives only the month",no,11.36,27,0.0077,,no,caught,"Executed as a staircase of ~10-13 km burns Oct-Nov 2017, +351 km total."
28252,AMC 11,SES,GEO,2026-04-22,graveyard_raise,assumed,"McDowell GCAT geotab: GEO/D at 36106x36137 km (~+335 km above belt)","No operator announcement found; date is catalog-derived",no,267.82,638,0.0007,,no,caught,"Three-burn sequence 2026-04-17 (+36), 04-22 (+268), 04-26 (+30)."
33153,Intelsat 25,Intelsat,GEO,2026-05-04,graveyard_raise,assumed,"McDowell GCAT geotab: GEO/D at 36114x36159 km","No operator announcement found. GCAT confirms identity chain: S33153 launched as Protostar 1, renamed Oct 2009",no,9.12,22,0.0017,,no,caught,"+112 km on 05-04 then ~10 km steps through 05-16; +349 km total."
28252,AMC 11,SES,GEO,2025-02-10,ns_station_keeping,assumed,"Inferred from signature: -0.047 deg inclination correction with near-zero altitude change","No per-maneuver disclosure exists for any GEO operator",no,3.00,7,0.0471,,no,caught,"Contradicts the 'altitude is blind to GEO station-keeping' hypothesis."
28252,AMC 11,SES,GEO,2025-08-08,ns_station_keeping,assumed,"Same signature class","No per-maneuver disclosure exists",no,0.84,2,0.0466,,no,caught,"Weakest true positive in the GEO set at 2x bar."
28252,AMC 11,SES,GEO,2025-10-21,ns_station_keeping,assumed,"Same signature class","No per-maneuver disclosure exists",no,1.23,3,0.0435,,no,caught,"Roughly quarterly cadence across 2025."
29644,AMC 18,SES,GEO,2025-01-01,abandoned_no_maneuvers,assumed,"McDowell GCAT geotab: GEO/ID, inclination free-drifting 1.215 -> 2.697 deg over 18 months","DOWNGRADED 07-22: McDowell's classification derives from the same public catalog we measure. Not independent",no,0.51,1.2,0.0088,,no,true_negative,"Null object. 1604 epochs, max step 0.51 km. Anchors the noise floor."
47404,STARLINK-2128,SpaceX,LEO,2026-07-21,reentry_deorbit_complete,assumed,"Space-Track SATCAT DECAY field (authoritative US government record)","DOWNGRADED 07-22: McDowell rcat.tsv last updated 2026-07-17 2011 UTC, before this decay. No corroboration available yet",no,,,,,no,not_scoreable,"Present in SupGP through 07-21/2157Z, absent from 07-22/0200Z. Operator withdrew ephemeris before our first catalog-bearing snapshot. Re-check rcat in a week to promote."
46340,STARLINK-1759,SpaceX,LEO,2026-07-20,reentry_deorbit_complete,assumed,"Space-Track SATCAT DECAY field","DOWNGRADED 07-22: not in McDowell rcat (updated 07-17)",no,,,,,no,not_scoreable,"Decayed before the scoreable window opened."
46557,STARLINK-1679,SpaceX,LEO,2026-07-20,reentry_deorbit_complete,assumed,"Space-Track SATCAT DECAY field","DOWNGRADED 07-22: not in McDowell rcat (updated 07-17)",no,,,,,no,not_scoreable,"Decayed before the scoreable window opened."
51794,STARLINK-3573,SpaceX,LEO,2026-07-20,reentry_deorbit_complete,assumed,"Space-Track SATCAT DECAY field","DOWNGRADED 07-22: not in McDowell rcat (updated 07-17)",no,,,,,no,not_scoreable,"Decayed before the scoreable window opened."
64137,STARLINK-34230,SpaceX,LEO,2026-07-17,reentry_deorbit_complete,assumed,"Space-Track SATCAT DECAY field; launched 2025-05-24","DOWNGRADED 07-22: not in McDowell rcat (updated 07-17 2011 UTC, same day)",no,,,,,no,not_scoreable,"~14-month lifetime."
69687,STARLINK-37977,SpaceX,LEO,2026-07-22,orbit_raising,assumed,"Space-Track: launched 2026-06-25; catalog shows +5.17 km/day at 371 km","DOWNGRADED 07-22: SpaceX FCC conops describes orbit-raising generically, never per-satellite. The classification is our inference",no,995.99,,,0,yes,caught,"Top flag of the 0200Z snapshot at 9.3x its bar. The one class of event our archive can currently score."
67865,STARLINK-36738,SpaceX,LEO,2026-07-22,orbit_change_unclassified,assumed,"Space-Track: launched 2026-02-20; catalog shows -0.23 km/day at 467 km","No public document confirms or denies a maneuver",no,592.76,,,0,yes,flagged_undocumented,"Top flag of the 0750Z snapshot at 11.2x its bar. Unresolvable from public sources."
54679,ONEWEB-0685,Eutelsat OneWeb,LEO,2026-07-22,unknown,assumed,"Our detector: persistent top OneWeb flag, 5-5.9x bar across all snapshots","No public per-maneuver disclosure exists for OneWeb; zero OneWeb decay records 2026-06-01..07-22",no,,,,,yes,flagged_undocumented,"The OneWeb ground-truth gap - unverifiable in principle from public sources."
